UUID (int),라벨 (enum),이름 (string),지점명 (string),지역 (string),주소 (string),전화번호 (string),한줄평 (string),즐겨찾기 (Bool),"별점 (float, .1f)",평일 영업시간 (String),주말 영업시간 (String),영업시간 비고 (String),분류 (enum),MIN (int),MAX (int),위도 (double),경도 (double)
1001,BLUE,효자 아지매 순대국밥,-,효자,경북 포항시 남구 효자동길5번길 22 효곡빌라,054-272-1911,청암에서 가까운 국밥집. 국밥이 만원이나 하지만 그만한 맛이 난다. 혼밥하기도 좋다.,FALSE,null,10:00~21:00,10:00~21:00,매주 토요일 정기휴무,한식,10000,20000,129.3279737,36.0075143
1002,PURPLE,오춘봉 막창,-,효자,경북 포항시 남구 효자동길5번길 24,054-275-2402,아저씨들이 많을 것 같이 생긴 막창집. 친구들끼리 한 잔 하기 좋은 분위기,FALSE,null,16:00~01:00,16:00~01:00,-,고기/구이,15000,25000,129.3277767,36.0074387
1003,BLUE,해오름,-,효자,경북 포항시 남구 효자동길1번길 24 1층 좌측,054-248-7788,칼국수/만두전골 맛집. 혼자는 못가고 여럿이 모이면 가기 좋을 것 같다.,FALSE,null,10:00~22:00,10:00~22:00,-,한식,10000,15000,129.3279433,36.0070509
1004,RED,까오산 쌀국수,-,효자,경북 포항시 남구 효자동길1번길 22 까오산쌀국수,0507-1306-5204,태국 음식 맛집. 분위기도 맛도 그냥 태국이다. 쌀국수가 제대로인 곳. 옆에 베트남 카페 ‘비엣’도 있다,FALSE,null,11:00~20:00,11:00~20:00,"매달 4, 5번째 일요일 정기 휴무",아시안,10000,15000,129.3281313,36.0071278
1005,BLUE,국민육개장,-,효자,경북 포항시 남구 효자동길5번길 21 국민육개장,054-283-3889,무난하게 한 끼 먹을 수 있는 육개장집. 혼밥하기도 괜찮고 맛도 괜찮은 편이다.,FALSE,null,10:00~20:00,10:00~20:00,매주 일요일 정기휴무,한식,10000,11000,129.3280638,36.0072695
1006,BLUE,메로메로돈까스우동,효곡점,효자,경북 포항시 남구 효자동길5번길 21,054-275-3371,가성비 돈까스집. 엄청난 맛집까지는 아니지만 무난하게 돈까스와 우동을 즐길 수 있다,FALSE,null,11:00~20:30,11:00~18:30,매주 일요일 정기휴무,일식,8500,11000,129.3280638,36.0072695
1007,BLUE,안동시골찜닭,-,효자,경북 포항시 남구 효자동길5번길 22 1층,054-277-8329,찜닭집이지만 돼지짜글이가 맛있는 집. 짜글이 2인분 시켜놓으면 밥이 절로 넘어간다.,FALSE,null,11:30~22:00,11:30~22:00,-,고기/구이,17000,20000,129.3279737,36.0075143
1008,GREEN,낙동 생오리,-,효자,경북 포항시 남구 효자동길5번길 15 1층,0507-1332-9255,"퀄리티가 좋은 생오리구이, 오리주물럭 전문점. 점심 특선 오리덮밥 7000원이 가성비 굿",FALSE,null,11:00~22:00,11:00~22:00,-,고기/구이,20000,30000,129.3285342,36.007444
1009,BLUE,효자 외갓집,-,효자,경북 포항시 남구 효자동길5번길 16 1층,054-281-7004,반찬이 매일 바뀌는 백반집. 돼지불백과 오징어볶음이 메인 메뉴다. 된장찌개도 맛있다.,FALSE,null,11:00~22:00,11:00~22:00,-,한식,11000,20000,129.3284132,36.0076105
1010,PURPLE,승리 양꼬치,-,효자,경북 포항시 남구 효자동길5번길 16,010-2791-9588,양꼬치 맛집. 중국 맥주가 많다. 가격이 좀 있지만 부드럽고 맛있다. 친구들끼리 한 잔 하기도 좋음.,FALSE,null,12:00~24:00,12:00~24:00,-,고기/구이,20000,30000,129.3284132,36.0076105
1011,BLUE,효자동 갈비탕 반계탕,-,효자,경북 포항시 남구 효자동길1번길 14 효자동 253-109,054-285-9955,아주 무난한 반계탕/갈비탕집. 가게가 넓고 위치가 좋아서 무난하게 방문하기 좋다.,FALSE,null,10:30~15:00,10:30~15:00,-,한식,10000,20000,129.3288217,36.0073337
1012,BLUE,롯데리아,포항효자점,효자,경북 포항시 남구 효자동길1번길 12,054-281-2611,말이 필요없는 햄버거 프랜차이즈. 맘스터치 지점 중에서도 여기가 꽤나 맛있는 지점인 듯하다.,FALSE,null,09:30~21:30,09:30~21:30,"매달 1, 3번째 월요일 정기 휴무",햄버거,8000,12000,129.3288217,36.0073337
1013,BLUE,이차돌 플러스,포항효자점,효자,경북 포항시 남구 효자동길7번길 9,054-283-2075,차돌박이 구이 맛집. 가격은 좀 있지만 맛있다. 점심 특선이 가성비가 좋다.,FALSE,null,11:30~23:00,11:30~23:00,월요일 17:00~23:00,고기/구이,20000,30000,129.3291396,36.0079547
1014,BLUE,맘스터치,효자점,효자,경북 포항시 남구 효자동길7번길 7,0507-1439-4334,말이 필요없는 햄버거 프랜차이즈. 비교적 늦게까지 영업해서 늦은 저녁으로 먹기에도 좋다.,FALSE,null,10:00~20:00,10:00~20:00,"매달 2, 4번째 월요일 정기 휴무",햄버거,8000,12000,129.3292558,36.0080013
